id,Название,Класс энергетической эффективности,Ввод в эксплуатацию,Класс недвижимости,Материал стен,Тип отделки,Свободная планировка,Количество этажей,Количество квартир,"Жилая площадь, м²","Высота потолков, м",Велосипедные дорожки,Количество детских площадок,Количество спортивных площадок,Количество площадок для сбора мусора,Количество мест в паркинге,Гостевые места на придомовой территории,Гостевые места вне придомовой территории,Наличие пандуса,Наличие понижающих площадок,Количество инвалидных подъемников,Количество подъездов,Количество пассажирских лифтов,Количество грузовыхи грузопассажирских лифтов,Индекс доступности инфраструктуры,Количество спортивныхплощадок,Наличие понижающихплощадок,Доступность инфраструктуры,Транспортная доступность,Индекс транспортной доступности,Зеленые зоны,Качество воздуха,Индекс зеленой зоны,Индекс качества воздуха
50470,"г. Оренбург, ул Комсомольская, д. 1",A,II кв. 2025,Комфорт,Панель,1 вариант,Нет,21,239,11 250,"2,67",Есть,1,,1,Нет,93,66,Нет,,Нет,1,2,2,,1,Есть,7,,,,,,
45075,"ЖК ""Фридланд""",C,IV кв. 2024,Бизнес,Монолит-кирпич,1 вариант,Нет,9,282,19 742,"2,7",Нет,1,,1,244,18,Нет,Нет,,Нет,7,Нет,8,,3,Есть,8,,,,,,
38687,Жилой квартал «Волго-Дон»,B,IV кв. 2026,Комфорт,Монолит-кирпич,Нет,Есть,2,Нет,Нет,Нет,Нет,2,,2,249,Нет,Нет,Есть,,Нет,-,Нет,1,,5,Есть,7,,,,,,
47292,"""СПУТНИК"", «Квартал Спутник»",Не нормируется,II кв. 2024,Типовой,Монолит-кирпич,Нет,Нет,4,Нет,Нет,Нет,Есть,Нет,,3,540,104,25,Нет,,Нет,-,Нет,3,,1,Нет,8,,,,,,
54609,Жилой дом 23 по генплану III Южного р-на,B,II кв. 2027,Типовой,Кирпич,Нет,Нет,13,88,3 458,"2,5",Нет,1,1,1,Нет,134,13,Нет,Есть,1,1,2,Нет,6,,,,,,,,,
55175,"ЖК ""Белый парус"" 3-я очередь стр-ва",A+,II кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Есть,18,275,16 779,"2,78 - 2,87",Есть,4,2,1,Нет,9,37,Есть,Есть,Нет,4,Нет,6,9,,,,,5,,,,
47834,"ЖК ""Белая Аллея"" д.23",C,II кв. 2024,Типовой,Кирпич,1 вариант,Нет,5,58,2 454,"2,7",Нет,1,,3,Нет,174,Нет,Нет,,Нет,2,Нет,Нет,,1,Есть,2,,,,,,
56239,"""Новый Парковый"" 2 этап строительства",B,IV кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Нет,26,322,15 556,"2,7 - 3,1",Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Есть,Нет,2,4,Нет,8,,,,,,,,,
56426,п. Западный,B,IV кв. 2024,Типовой,Панель,1 вариант,Нет,11,150,6 185,"2,7",Нет,1,1,1,Нет,56,10,Нет,Есть,Нет,2,Нет,2,5,,,,,,,,,
56758,Квартал В16 корпус 6 СберСити ,A++,III кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Нет,8,44,3 329,"2,9 - 3,5",Нет,2,2,4,Нет,Нет,57,Нет,Нет,Нет,1,1,1,5,,,,,1,,,5,
50581,"Новое Видное, ЖК Новое Видное",A,I кв. 2025,Типовой,Монолит-кирпич,Нет,Нет,18,714,29 180,"3 - 3,2",Есть,3,,3,Нет,126,Нет,Нет,,Нет,6,6,6,,4,Есть,3,,,,,,
54432,"ЖК ""ПОЛЕТ"" строение 1",B,IV кв. 2025,Комфорт,Кирпич,1 вариант,Нет,11,187,9 381,"2,64",Нет,1,2,1,Нет,43,Нет,Есть,Есть,Нет,3,Нет,3,7,,,,,,,,,
46705,"п. Сальское, д. 10",C,III кв. 2025,Типовой,Монолит-кирпич,1 вариант,Нет,9,72,3 365,"2,7",Нет,1,,1,Нет,10,Нет,Нет,,Нет,1,1,Нет,,1,Есть,5,,,,,,
51989,"г. Махачкала, ул Ермошкина, д. 115А",A++,III кв. 2024,Элитный,Монолит-кирпич,1 вариант,Нет,8,Нет,Нет,Нет,Нет,Нет,,1,Нет,25,70,Есть,,1,-,1,2,,Нет,Есть,9,,,,,,
52790,"г. Москва, ул Демьяна Бедного, вл. 24",C,I кв. 2026,Комфорт,Другое,1 вариант,Есть,37,346,27 347,"3 - 3,45",Нет,3,,1,171,24,Нет,Есть,,Нет,3,1,10,,1,Есть,8,7,,9,,,
53616,ЖК СОКОЛОВ,B,IV кв. 2025,Типовой,Кирпич,1 вариант,Нет,11,87,5 495,"2,7",Есть,1,1,2,Нет,75,31,Есть,Есть,Нет,2,Нет,2,7,,,,,,,,,
50050,ПРИТЯЖЕНИЕ,B,II кв. 2024,Типовой,Панель,1 вариант,Нет,11,236,11 076,"2,6 - 3",Нет,1,1,1,Нет,141,70,Есть,Есть,Нет,5,5,Нет,3,,,,,,,,,
48850,"Микрорайон ""Теплые Края""",C,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,19,232,10 091,"2,82 - 2,83",Есть,2,,3,Нет,41,Нет,Нет,,Нет,2,Нет,3,,3,Есть,3,,,,,,
52423,"г. Гурьевск, ул Калининградское шоссе",C,III кв. 2024,Типовой,Блоки,1 вариант,Нет,6,168,10 076,"2,7",Нет,1,1,1,Нет,Нет,48,Нет,Есть,6,6,Нет,Нет,6,,,,,,,,,
45877,ЖК Меркурий,Не нормируется,III кв. 2024,Типовой,Монолит-кирпич,Нет,Нет,7,Нет,Нет,Нет,Нет,Нет,Нет,1,356,Нет,Нет,Нет,Есть,Нет,-,Нет,1,10,,,,,6,,,,
52333,ЖК Характер,A+,III кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Есть,22,240,10 081,"2,74",Нет,1,1,1,55,91,Нет,Есть,Есть,Нет,1,3,3,10,,,,,,,,,
50369,"""Шория-Град""",A,I кв. 2025,Комфорт,Другое,Нет,Нет,15,152,6 743,3,Нет,Нет,,1,Нет,5,61,Нет,,Нет,2,2,2,,Нет,Есть,4,,,,,,
48495,"Жилищный комплекс ""Белый город""",C,III кв. 2024,Бизнес,Кирпич,1 вариант,Нет,3,19,1 267,"2,85",Есть,Нет,,Нет,Нет,Нет,20,Нет,,Нет,2,Нет,Нет,,Нет,Есть,5,,,,,,
30549,"ЖК ""Фестиваль парк-2""",A,I кв. 2025,Бизнес,Другое,1 вариант,Нет,35,330,21 078,"3,1",Есть,1,1,1,113,3,Нет,Есть,Есть,Нет,1,4,Нет,9,,,,,5,,,6,6
52799,"г. Рязань, ш Михайловское",B,I кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Нет,26,349,16 547,"2,64",Нет,4,4,2,Нет,174,Нет,Есть,Есть,Нет,1,3,3,4,,,,,,,,,
43757,"ЖК ""Калейдоскоп""",A++,I кв. 2025,Комфорт,Другое,1 вариант,Нет,8,64,4 075,"2,5",Есть,Нет,Нет,1,Нет,30,Нет,Есть,Есть,1,2,Нет,2,4,,,,,,,,,
50656,"ЖК ""Основатели"" Квартал ""Основатели""",B,IV кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Есть,19,178,10 046,"2,7 - 3",Нет,1,,1,Нет,50,48,Есть,,Нет,2,4,4,,1,Есть,7,,,,,,
47177,"ЖК ""НЕБО""",B,III кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,1,Нет,Нет,Нет,Нет,6,,6,126,99,Нет,Есть,,Нет,-,Нет,Нет,,7,Есть,7,,,,,,
48306,"г. Белгород, ул Донецкая",B,II кв. 2024,Типовой,Другое,1 вариант,Нет,8,62,2 908,"2,92",Нет,1,,1,Нет,22,124,Есть,,Нет,1,1,Нет,,Нет,Есть,7,,,,,,
44874,ЖК Ньютон,B,I кв. 2025,Комфорт,Монолит-кирпич,Нет,Нет,18,142,8 410,"2,73 - 3,03",Нет,1,,1,73,58,Нет,Есть,,Нет,1,Нет,2,,1,Есть,9,,,,,,
47194,"ЖК ""Suncity"" ЖК ""Курортный"" 2 этап",Не нормируется,I кв. 2027,Комфорт,Монолит-кирпич,1 вариант,Есть,1,Нет,Нет,Нет,Нет,1,,Нет,83,34,57,Есть,,Нет,-,Нет,Нет,,1,Есть,3,,,,,,
52709,"г. Нальчик, ул Циолковского, д. 7Б, литера В",A,II кв. 2026,Комфорт,Другое,1 вариант,Есть,13,216,14 314,"3,1 - 3,2",Есть,2,,2,47,156,80,Есть,,Нет,3,3,9,,2,Есть,7,,,,,,
54197,"Квартал ""Романтиков"" ЖК ""Новая Дема""",B,I кв. 2025,Типовой,Другое,1 вариант,Нет,17,349,19 272,"2,5",Нет,1,1,1,Нет,21,15,Есть,Есть,Нет,3,3,3,1,,,,,,,,,
45797,"г. Архангельск, ул Советская, д. 40, корпус 1",B,IV кв. 2025,Комфорт,Кирпич,1 вариант,Есть,9,61,2 629,"2,72",Нет,1,1,2,Нет,8,Нет,Нет,Есть,Нет,1,1,Нет,7,,,,,,,,,
16733,"ЖК ""Волжские Паруса"" (Б-2-4)",B,III кв. 2024,Типовой,Монолит-кирпич,1 вариант,Нет,18,68,3 505,"2,7 - 3",Нет,Нет,,1,Нет,Нет,Нет,Есть,,Нет,1,1,1,,Нет,Есть,7,9,,,,,
55450,Жилой комплекс Гринвуд,A,IV кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,16,132,6 861,"2,7 - 3,1",Нет,1,1,1,Нет,9,Нет,Есть,Есть,Нет,1,Нет,2,7,,,,,,,,,
55890,"ЖК ""ВАСИЛЬКИ""",C,III кв. 2025,Типовой,Монолит-кирпич,1 вариант,Нет,10,191,9 131,"2,7",Нет,1,1,1,Нет,19,Нет,Нет,Есть,Нет,4,4,4,3,,,,,,,,,
47061,"ЖК ""Новоград Монино""",A++,II кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,8,144,6 592,"2,8",Нет,2,1,1,Нет,19,Нет,Есть,Есть,3,3,Нет,6,5,,,,,,,,,
51619,Левобережье Литер 1,C,I кв. 2027,Бизнес,Монолит-кирпич,1 вариант,Нет,25,206,12 349,3,Есть,1,,1,Нет,57,55,Есть,,Нет,1,1,2,,1,Есть,3,,,,,,
