id,name,energy_efficiency,due_date,class,wall_material,n_finish_types,layout_variation,n_floors,n_flats,life_space,av_flat,min_ceiling_height,max_ceiling_height,bike_paths,n_playgrounds,n_sportsgrounds,n_p_s_grounds,n_garbage_sites,n_parking_places,ramp,lowering_platforms,n_wheelchair_lifts,low_mobility_facilities,n_entrances,n_p_lifts,n_f_lifts,n_lifts,lift_ratio,infrastr_access,transport_access,green_areas,air_quality
56126,"г. Пермь, ул Белозерская, д. 26, вл. дом",B,2026Q1,Комфорт,Блоки,1,False,11,248,10666.0,43.00806451612903,2.5,2.5,False,1,1,2,1,0,False,True,4,0.5,4,4,0,4,46.78181818181818,7,,,
47591,ЖК ПРЕМИУМ,A+,2024Q4,Комфорт,Монолит-кирпич,1,False,21,380,19308.0,50.810526315789474,2.91,2.91,False,1,1,2,1,320,True,True,0,0.5,2,4,4,8,41.39285714285714,8,,,
51946,River Park-2,B,2025Q4,Комфорт,Кирпич,0,False,12,280,10480.0,37.42857142857143,2.7,2.7,False,1,1,2,1,68,False,True,0,0.5,2,3,3,6,36.166666666666664,10,,,
55433,"ЖК ""Детали""",A,2026Q3,Бизнес,Монолит-кирпич,1,True,24,1191,55792.0,46.84466834592779,2.7,3.4,False,5,1,6,8,403,False,False,2,0.0,11,14,14,28,37.75044642857143,3,2.0,1.0,
50396,"ЖК ""Онегин.Дом у озера""",A+,2025Q1,Комфорт,Монолит-кирпич,1,False,23,425,17644.0,41.51529411764706,2.55,3.0,True,3,2,5,1,468,False,True,0,0.5,3,3,4,7,53.586956521739125,6,,,
44555,"мкр Гармония (с Каменка), д. 142, блок-секция 8",C,2024Q3,Типовой,Кирпич,1,False,2,1,78.0,78.0,2.7,2.7,False,0,0,0,0,0,False,False,0,0.0,1,0,0,0,0,1,,,
55393,Жилой КИНОКВАРТАЛ,A,2026Q1,Комфорт,Монолит-кирпич,0,True,9,244,11597.0,47.528688524590166,2.82,5.42,True,4,4,8,1,117,True,True,0,0.5,8,8,0,8,21.35,7,,,
51483,"г. Нальчик, ул Шогенова, корпус 34, блок-секция А",B,2024Q2,Типовой,Кирпич,1,True,5,24,1601.0,66.70833333333333,2.7,2.7,False,0,0,0,1,3,True,False,0,0.5,2,0,0,0,0,2,,,
46395,"ЖК ""Фиолент""",A,2024Q3,Комфорт,Другое,1,True,17,150,8196.0,54.64,2.7,4.5,False,1,1,2,2,83,True,True,0,0.5,1,1,3,4,31.544117647058822,8,,,
55656,ЖК Прибрежный (жилой комплекс Прибрежный,C,2026Q2,Типовой,Монолит-кирпич,1,False,13,77,2839.0,36.87012987012987,2.7,2.7,False,1,1,2,1,242,True,True,0,0.5,1,1,1,2,30.503846153846155,7,,,
50099,"г. Краснодар, литера 22",D,2025Q4,Типовой,Панель,0,False,3,21,1127.0,53.666666666666664,2.7,2.7,False,2,4,6,1,15,True,True,0,0.5,2,0,0,0,0,2,,,
54302,"ЖК ""Созвездие"". ЖД ""Лира"". СХ ""Термодом""",A,2026Q1,Комфорт,Кирпич,1,False,19,128,7705.0,60.1953125,2.7,3.3,False,2,1,3,2,24,False,True,0,0.5,1,1,1,2,54.90526315789474,7,,,
53582,"рп. Южный, ул Герцена, д. 17, вл. дом",A++,2025Q4,Комфорт,Кирпич,1,False,17,174,6776.0,38.94252873563219,2.7,2.7,False,1,1,2,1,181,True,True,0,0.5,1,2,0,2,73.18235294117648,6,,,
44343,"г. Пермь, ул Советской Армии, д. 82",B,2024Q4,Комфорт,Кирпич,1,False,10,124,6119.0,49.346774193548384,2.7,3.0,False,1,1,2,1,61,False,True,0,0.5,2,1,2,3,30.173333333333332,9,,,
53953,"г. Псков, улица Советская, д. 29, литера Г",C,2025Q2,Типовой,Монолит-кирпич,1,False,4,6,476.0,79.33333333333333,3.0,3.0,False,1,0,1,1,2,False,True,0,0.5,1,0,0,0,0,10,,,
54445,"""Сити-квартал на Взлетной""",B,2026Q4,Комфорт,Монолит-кирпич,1,False,17,522,34735.0,66.54214559386973,2.8,3.0,False,1,1,2,0,334,False,True,0,0.5,13,7,13,20,21.95470588235294,9,,,
56511,"""Пряничная Слобода"" д.22",C,2032Q1,Типовой,Монолит-кирпич,1,False,11,119,5353.0,44.983193277310924,3.0,3.0,False,1,1,2,1,42,False,True,0,0.5,1,0,1,1,89.79090909090908,1,,,
50976,Квартал Марьино,A,2025Q1,Типовой,Монолит-кирпич,0,False,18,699,29733.0,42.53648068669528,3.0,3.2,False,8,8,16,4,65,True,True,0,0.5,6,6,6,12,49.512499999999996,3,1.0,1.0,
50975,Квартал Марьино,A,2025Q1,Типовой,Монолит-кирпич,0,False,18,699,29737.0,42.54220314735336,3.0,3.2,False,8,8,16,4,65,True,True,0,0.5,6,6,6,12,49.512499999999996,3,2.0,1.0,
51238,ЖК Лайнеръ,B,2025Q3,Комфорт,Монолит-кирпич,0,False,18,271,12367.0,45.63468634686347,2.8,3.11,False,1,1,2,1,76,True,True,0,0.5,2,2,2,4,57.5875,7,6.0,6.0,
48294,"""Медный квартал""",A,2024Q4,Комфорт,Другое,0,False,33,1036,47652.0,45.996138996138995,2.72,2.72,False,1,1,2,3,333,True,True,0,0.5,3,0,12,12,79.26969696969697,8,4.0,,
55448,"ЖК ""Ленский""",C,2026Q4,Типовой,Монолит-кирпич,1,False,18,285,11640.0,40.8421052631579,2.5,2.5,False,1,1,2,1,78,True,True,0,0.5,3,6,6,12,20.1875,7,,,
49867,"пгт. Северный, д. Поз. 35",B,2024Q2,Комфорт,Кирпич,1,False,3,26,1460.0,56.15384615384615,2.7,2.7,False,1,1,2,1,21,True,True,3,0.5,3,0,0,0,0,4,,,
52373,Дом на Парковой,A,2024Q3,Типовой,Панель,0,False,8,40,2110.0,52.75,2.5,2.5,False,1,1,2,1,20,True,True,1,0.5,1,1,0,1,26.5,2,,,
54922,"""Дом Булгаков""",A,2025Q3,Комфорт,Монолит-кирпич,1,False,16,141,5981.0,42.41843971631206,2.7,3.6,False,1,1,2,1,106,False,True,0,0.5,1,2,0,2,58.603125,8,,,
48427,Центральный,B,2024Q4,Комфорт,Монолит-кирпич,1,True,17,135,6567.0,48.644444444444446,2.76,3.1,False,1,1,2,1,4,True,True,0,0.5,1,1,1,2,56.779411764705884,10,,,
54585,"п. Расцвет, ул 22 Олимпиады, д. 1/3",C,2024Q3,Бизнес,Кирпич,0,True,2,1,119.0,119.0,2.8,2.8,False,0,0,0,1,2,False,False,0,0.0,1,0,0,0,0,2,,,
55671,ЖК Комсомольский проспект,A,2027Q4,Комфорт,Монолит-кирпич,1,False,21,216,8108.0,37.53703703703704,2.86,3.15,False,1,1,2,1,244,True,True,0,0.5,1,3,6,9,20.914285714285715,10,6.0,,
53509,ЖК Комсомольский проспект,A,2025Q4,Комфорт,Блоки,1,False,14,135,5726.0,42.41481481481482,2.86,3.46,False,1,1,2,1,152,True,True,0,0.5,1,3,6,9,12.107142857142858,10,7.0,,
53504,"ЖК ""VICTORIA""",B,2024Q2,Бизнес,Монолит-кирпич,1,False,16,112,7676.0,68.53571428571429,2.7,2.7,False,1,0,1,1,34,True,True,0,0.5,1,2,2,4,23.275,10,,,
54544,"г. Киров, ул Сандаловская, д. 4, корпус 1, вл. дом",B,2025Q2,Комфорт,Кирпич,1,False,4,74,3431.0,46.36486486486486,2.7,2.7,False,1,1,2,1,90,False,True,0,0.5,3,0,0,0,0,2,,,
50684,"г. Губкинский, Мкр Микрорайон 2, д. 2",B,2027Q1,Типовой,Кирпич,1,False,6,59,2846.0,48.23728813559322,2.7,2.7,False,2,2,4,3,59,True,True,0,0.5,3,0,0,0,0,7,,,
54242,"ЖК ""Образцовый""",B,2025Q1,Типовой,Панель,1,False,11,144,7967.0,55.326388888888886,2.73,2.73,False,1,1,2,1,101,True,True,0,0.5,3,3,0,3,36.21818181818182,9,,,
51039,ЖК ПРЕОБРАЖЕНСКИЙ,B,2025Q3,Комфорт,Кирпич,1,False,13,277,15030.0,54.25992779783393,2.7,2.7,True,1,1,2,1,203,False,False,0,0.0,5,5,5,10,21.946923076923078,8,,,
37004,HIDE,A,2024Q2,Бизнес,Монолит-кирпич,1,False,43,863,55981.0,64.86790266512166,3.25,3.25,False,5,1,6,2,703,False,True,0,0.5,3,6,6,12,67.40096899224805,8,9.0,9.0,7.0
19414,"Клубный дом ""Академический""",B,2024Q2,Комфорт,Монолит-кирпич,0,True,11,144,7968.0,55.333333333333336,2.78,2.78,False,1,2,3,1,161,True,True,0,0.5,3,1,3,4,27.163636363636364,8,,,
49634,"Жилой комплекс ""Квартал К3""",A,2025Q2,Комфорт,Монолит-кирпич,1,True,26,313,15595.0,49.82428115015974,2.7,5.4,False,1,1,2,1,187,True,True,0,0.5,2,3,8,11,25.49965034965035,9,6.0,,
52577,"ЖИЛОЙ КВАРТАЛ ""ИНЖИР""",B,2024Q2,Комфорт,Монолит-кирпич,1,False,13,173,10233.0,59.15028901734104,2.98,2.98,False,1,2,3,1,198,True,True,0,0.5,2,4,4,8,17.133653846153845,7,,,
48301,Исеть Парк,A,2025Q2,Типовой,Монолит-кирпич,0,False,25,368,14185.0,38.546195652173914,2.68,2.68,True,1,1,2,1,27,False,True,0,0.5,1,4,0,4,82.064,8,5.0,,
48299,Исеть Парк,A+,2024Q4,Типовой,Монолит-кирпич,0,False,25,372,14222.0,38.23118279569893,2.6,3.0,True,1,1,2,1,54,False,True,0,0.5,1,4,0,4,82.956,8,4.0,,
13669,"г. Вологда, ул Фрязиновская",B,2028Q4,Комфорт,Кирпич,0,False,16,176,9162.0,52.05681818181818,2.5,2.5,False,1,1,2,1,91,True,True,0,0.5,2,4,0,4,36.575,9,,,
53679,"г. Омск, ул Дианова",B,2025Q2,Комфорт,Монолит-кирпич,1,False,8,96,4072.0,42.416666666666664,2.72,2.72,False,1,1,2,1,65,False,True,0,0.5,2,2,0,2,31.799999999999997,7,,,
53548,"ЖК ""Озеро""",C,2024Q4,Комфорт,Монолит-кирпич,0,True,8,198,11233.0,56.73232323232323,2.72,2.72,False,1,1,2,1,69,True,True,5,0.5,6,6,0,6,21.8625,3,,,
